doc,tags,eng_doc,eng_tags
"영어 회화 수업

선생님: 오늘은 어떤 주제로 대화를 해볼까요?
학생: 저는 여행에 대해서 얘기해보고 싶어요.
선생님: 좋아요. 여행 중 가장 기억에 남는 경험은 무엇인가요?
학생: 제가 가장 좋아하는 나라인 일본에서 친구들과 함께 도쿄 디즈니랜드에 갔을 때입니다. 그곳에서 놀이기구를 타면서 즐거운 시간을 보냈어요.
선생님: 그런데 일본에서는 놀이기구가 많이 무섭지 않나요?
학생: 그렇게 생각했는데, 실제로 타보니까 그렇게 무서운 것도 아니었어요.","여행,일본,도쿄 디즈니랜드,놀이기구","English Conversation Class

Teacher: What topic shall we talk about today?
Student: I'd like to talk about travel.
Teacher: Good. What is the most memorable experience you had while traveling?
Student: When I went to Tokyo Disney Land with my friends in Japan, which is my favorite country. We had a great time riding the rides there.
Teacher: But aren't the rides in Japan a bit scary?
Student: I thought so, but it wasn't that scary when I actually rode them.","Travel, Japan, Tokyo Disney Land, rides"
"친구와 직장 상담

직장 상담 내용",직장 상담,"Consulting with friends at work

Content of work consultation",Work consultation
"광고 전화

상품 소개",상품 소개,"Advertising call

Product introduction",Product introduction
"사용 설명서 문의

제품 사용 방법 문의",제품 사용 방법,"Inquiry about user manual

Inquiry about product usage",Product usage
"압구정 로데오에서의 친구와 저녁약속

압구정 로데오
사주카페
금요일 저녁","사주카페,5만원,예약 필수","Dinner with friends at Apgujeong Rodeo

Apgujeong Rodeo
Saju Cafe
Friday evening","Saju Cafe, 50,000 won, reservation required"
"취미 클래스 논의

어떤 클래스가 좋을지
가격 비교
시간 조율","취미 클래스,가격 비교,시간 조율","Discussing hobby classes

Which class is good
Price comparison
Time adjustment","Hobby classes, price comparison, time adjustment"
"상담 전화

상담 내용",상담 내용,"Counseling call

Counseling content",Counseling content
"주말 계획

어디로 갈지
무엇을 할지
언제 가는지","주말 계획,여행,활동","Weekend plans

Where to go
What to do
When to go","Weekend plans, travel, activities"
"치과 예약 및 상담

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","고객 보호조치,상담 녹음,진료 예약","Dental appointment and consultation

Request for customer protection measures
Counseling recording guidance
Appointment and inquiry for treatment","Customer protection measures, counseling recording, appointment for treatment"
"회사 업무 상담

프로젝트 진행 상황 보고
다음 회의 일정 조율
업무 분담","프로젝트 진행,회의 일정,업무 분담","Business consultation at the company

Report on the progress of the project
Adjust the schedule of the next meeting
Division of work","Project progress, meeting schedule, division of work"
"여행 계획 상담

여행 일정 조율
숙소 예약
관광지 추천","여행 일정,숙소 예약,관광지 추천","Travel plan consultation

Adjusting travel schedule
Reserving accommodation
Recommending tourist attractions","Travel schedule, accommodation reservation, tourist attraction recommendation"
"식당 예약

저녁 7시 예약
2명",식당 예약,"Restaurant reservation

Reservation at 7pm
2 people",Restaurant reservation
"서울대학교 치과병원 상담

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","고객 보호조치,상담 녹음,진료 예약","Consultation at Seoul National University Dental Hospital

Request for customer protection measures
Counseling recording guidance
Reservation and inquiry for treatment","Customer protection measures, counseling recording, treatment reservation"
"친구와 학교 행사 논의

학교 행사 일정
참석 인원
의상 준비","학교 행사,참석 인원,의상 준비","Discussing school events with friends

School event schedule
Number of attendees
Clothing preparation","School event, number of attendees, clothing preparation"
"은행 대출 상담

대출 상환 방법
이자율
대출 한도","대출 상환,이자율,대출 한도","Bank loan consultation

Loan repayment method
Interest rate
Loan limit","Loan repayment, interest rate, loan limit"
"부동산 중개인과의 상담

매물 정보
가격 협상
계약서 작성","매물 정보,가격 협상,계약서 작성","Consultation with a real estate agent

Property information
Price negotiation
Writing a contract","Property information, price negotiation, writing a contract"
"친구3와 인턴십 논의

인턴십 기간
인턴십 업무
인턴십 보상","인턴십 기간,인턴십 업무,인턴십 보상","Discussing internship with 3 friends

Internship period
Internship work
Internship reward","Internship period, Internship work, Internship reward"
"상담 전화에서의 다양한 대화

상담 내용 1
상담 내용 2
상담 내용 3","상담 내용 1,상담 내용 2,상담 내용 3","Various conversations on the counseling phone

Counseling Content 1
Counseling Content 2
Counseling Content 3","Counseling Content 1, Counseling Content 2, Counseling Content 3"
"상담 전화에서의 다양한 대화

상담 내용 4
상담 내용 5
상담 내용 6","상담 내용 4,상담 내용 5,상담 내용 6","Various conversations on the counseling phone

Counseling Content 4
Counseling Content 5
Counseling Content 6","Counseling Content 4, Counseling Content 5, Counseling Content 6"
"친구3와 장학금 정보 공유

친구3와 장학금 정보 공유","장학금,정보공유","Sharing scholarship information with 3 friends

Sharing scholarship information with 3 friends","Scholarship, information sharing"
"친구3와 대학원 지원서 작성

친구3와 대학원 지원서 작성","대학원,지원서","Writing a graduate school application with Friend 3

Writing a graduate school application with Friend 3","Graduate school, application"
"친구3와 대학원 입시 정보 공유

친구3와 대학원 입시 정보 공유","대학원,입시,정보공유","Sharing graduate school admission information with 3 friends

Sharing graduate school admission information with 3 friends","Graduate school, admission, information sharing"
"친구3와 대학원 면접 준비

친구3와 대학원 면접 준비","대학원,면접,준비","Preparing for a graduate school interview with Friend 3

Preparing for a graduate school interview with Friend 3","Graduate school, interview, preparation"
"친구3와 대학원 합격 소식

친구3와 대학원 합격 소식","대학원,합격,소식","News of Friend 3's Grad School Acceptance

Friend 3's Grad School Acceptance News","Grad School, Acceptance, News"
"상사1과 미팅 계획

미팅 일정 조율","미팅 일정,미팅 장소,미팅 참석자","Meeting plan with boss 1

Adjusting the meeting schedule","Meeting schedule, meeting place, meeting attendees"
"회사 업무 지시

오늘 회의록 작성
내일 발표 자료 제작
다음 주 프로젝트 계획 수립","회의록 작성,발표 자료 제작,프로젝트 계획 수립","Company work instructions

Write the minutes of today's meeting
Produce presentation materials for tomorrow
Establish project plan for next week","Writing minutes, producing presentation materials, establishing project plan"
"광고 전화

저희 회사의 새로운 상품 소개입니다.
특별한 혜택이 준비되어 있으니 꼭 확인해주세요.","새로운 상품 소개,특별한 혜택","Advertisement call

This is an introduction to our company's new product.
Please check it out as there are special benefits prepared.","Introduction to new product, special benefits"
"부서간 협업 회의

프로젝트 진행 상황 보고
다음 단계 계획 수립
문제점 해결 방안 논의","프로젝트 진행 상황 보고,다음 단계 계획 수립,문제점 해결 방안 논의","Inter-departmental collaboration meeting

Report on project progress
Establish next steps plan
Discuss solutions to problems","Report on project progress, Establish next steps plan, Discuss solutions to problems"
"상사1과 프로젝트 논의

프로젝트 일정 조율
진행 상황 보고
다음 회의 일정 조정","프로젝트 일정,진행 상황,회의 일정","Discussion with Boss 1

Adjusting project schedule
Reporting progress
Adjusting next meeting schedule","Project schedule, progress, meeting schedule"
"여행 계획

여행 일정 조율
숙소 예약
관광지 추천","여행 일정,숙소 예약,관광지 추천","Travel plan

Adjusting travel schedule
Booking accommodation
Recommending tourist attractions","Travel schedule, booking accommodation, recommending tourist attractions"
"식당 예약

식당 예약
메뉴 추천
결제 방법","식당 예약,메뉴 추천,결제 방법","Restaurant reservation

Restaurant reservation
Menu recommendation
Payment method","Restaurant reservation, menu recommendation, payment method"
"상사1과의 피드백 수신

프로젝트 진행 상황 보고
의견 수렴 및 피드백","프로젝트 진행,의견 수렴,피드백","Receiving feedback from Boss 1

Project progress report
Opinion collection and feedback","Project progress, opinion collection, feedback"
"영어회화 스터디 모임

스터디 일정 조율
참여 인원 확인","영어회화,스터디,일정 조율","English conversation study meeting

Adjusting the study schedule
Confirm the number of participants","English conversation, study, schedule adjustment"
"운동 동호회 가입 문의

가입 조건 및 혜택 문의
운동 종목 안내","운동 동호회,가입 조건,혜택","Inquiries about joining a sports club

Inquiries about conditions and benefits
Exercise item guidance","Sports club, conditions for joining, benefits"
"상사와의 회의

팀 빌딩 활동 계획
프로젝트 진행 상황
업무 분담","팀 빌딩,프로젝트 진행,업무 분담","Meeting with the boss

Team building activity plan
Project progress status
Task allocation","Team building, project progress, task allocation"
"영어 회화 수업

과제 제출 기한
발음 연습
단어 암기","과제,발음 연습,단어 암기","English Conversation Class

Deadline for assignment submission
Pronunciation practice
Memorizing words","Assignment, Pronunciation practice, Memorizing words"
"부동산 중개사와의 상담

매물 정보
가격 협상
계약서 작성","매물 정보,가격 협상,계약서 작성","Consultation with a real estate agent

Property information
Price negotiation
Writing a contract","Property information, price negotiation, writing a contract"
"상사와 업무 관련 문제 해결

상사: 이번 달 목표 달성이 어려울 것 같은데 어떻게 생각해?
나: 이번 달에는 이전보다 많은 걸 해내야 하는데, 이전에는 이렇게 하면서 성과를 냈었는데 이번에도 이렇게 해보는 건 어떨까요?
상사: 그럼 그렇게 해보자. 그리고 이번 주 금요일까지 보고서를 제출해줘.
나: 알겠습니다.","목표달성,보고서제출","Solving work-related problems with the boss

Boss: It seems like it will be difficult to achieve the goal this month, what do you think?
Me: We have to do more than before this month, we achieved results like this before, what do you think about trying it this time?
Boss: Then let's try it that way. And submit the report by Friday of this week.
Me: Understood.","Achieving goals, submitting reports"
"상사와 업무 관련 회의

상사: 이번 주에는 이 프로젝트를 마무리해야 하는데, 현재 진행 상황은 어떤가요?
나: 현재까지는 예정대로 진행 중이며, 다음 주까지는 마무리할 수 있을 것 같습니다.
상사: 그렇다면 다음 주 월요일까지 보고서를 제출해줘.
나: 알겠습니다.","프로젝트진행,보고서제출","Meeting with boss about work

Boss: We need to finish this project this week, what is the current progress?
Me: We are currently on track and should be able to finish it by next week.
Boss: Alright, submit the report by Monday next week.
Me: Understood.","Project progress, submit report"
"상사와 업무 관련 회의

상사: 이번 달 목표 달성이 어려울 것 같은데 어떻게 생각해?
나: 이번 달에는 이전보다 많은 걸 해내야 하는데, 이전에는 이렇게 하면서 성과를 냈었는데 이번에도 이렇게 해보는 건 어떨까요?
상사: 그럼 그렇게 해보자. 그리고 이번 주 금요일까지 보고서를 제출해줘.
나: 알겠습니다.
상사: 그리고 이번 달에는 이 프로젝트를 마무리해야 하는데, 현재 진행 상황은 어떤가요?
나: 현재까지는 예정대로 진행 중이며, 다음 주까지는 마무리할 수 있을 것 같습니다.
상사: 그렇다면 다음 주 월요일까지 보고서를 제출해줘.
나: 알겠습니다.","목표달성,프로젝트진행,보고서제출","Meeting with boss about work

Boss: It looks like it will be difficult to achieve the goal this month, what do you think?
Me: We need to accomplish more than before, we have achieved results like this before, what do you think about trying it again this time?
Boss: Let's try it then. And submit the report by Friday of this week.
Me: Understood.
Boss: And we need to finish this project this month, what is the current progress?
Me: We are progressing as planned and we should be able to finish it by next week.
Boss: Then submit the report by Monday of next week.
Me: Understood.","Achieving goals, project progress, submitting reports"
"상사1과의 훈련/세미나 정보 공유

훈련 일정 확인
세미나 참석 여부 확인
훈련 자료 공유","훈련일정,세미나참석여부,훈련자료공유","Sharing information with Supervisor 1

Confirm training schedule
Confirm attendance at seminar
Share training materials","Training schedule, seminar attendance, training material sharing"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","보호조치요청,상담녹음,진료예약","Various conversations on the counseling phone

Request for customer protection measures
Counseling recording guidance
Medical appointment and inquiry","Protection measures request, counseling recording, medical appointment"
"동료1과 업무 협력 논의

동료1과 업무 협력 방안 논의","업무 협력,방안 논의","Discussing work collaboration with colleague 1

Discussing work collaboration plans with colleague 1","Work collaboration, discussing plans"
"동료1과 업무 협력 논의

동료1과 업무 협력 방안 논의","업무 협력,방안 논의,일정 조율","Discussing work collaboration with colleague 1

Discussing work collaboration plans with colleague 1","Work collaboration, plan discussion, schedule adjustment"
"동료1과 업무 협력 논의

동료1과 업무 협력 방안 논의","업무 협력,방안 논의,일정 조율,업무 분담","Discussing work cooperation with colleague 1

Discussing work cooperation plans with colleague 1","Work cooperation, plan discussion, schedule adjustment, work division"
"동료1과 업무 협력 논의

동료1과 업무 협력 방안 논의","업무 협력,방안 논의,일정 조율,업무 분담,진행 상황 보고","Discussing work collaboration with colleague 1

Discussing work collaboration plans with colleague 1","Work collaboration, plan discussion, schedule adjustment, work division, progress report"
"동료1과 업무 협력 논의

동료1과 업무 협력 방안 논의","업무 협력,방안 논의,일정 조율,업무 분담,진행 상황 보고,결과 보고","Discussing work collaboration with colleague 1

Discussing work collaboration plans with colleague 1","Work collaboration, plan discussion, schedule adjustment, work division, progress report, result report"
"동료1과 프로젝트 아이디어 공유

프로젝트 아이디어 공유",프로젝트 아이디어,"Sharing project ideas with colleague 1

Sharing project ideas",Project ideas
"동료2와 회사 업무 상담

회사 업무 상담",회사 업무,"Consultation with two colleagues on company business

Company business consultation",Company business
"가족과 여행 계획

여행 계획",여행 계획,"Travel plans with family

Travel plans",Travel plans
"친구와 영화 추천

영화 추천",영화 추천,"Movie recommendation with friends

Movie recommendation",Movie recommendation
"동호회 모임 장소 정하기

동호회 모임 장소 정하기",동호회 모임,"Decide the place for the club meeting

Decide the place for the club meeting",Club meeting
"동료1과 업무 관련 이슈 논의

프로젝트 진행 상황 보고","프로젝트 진행,문제점 대처,회의 일정","Discussing work-related issues with colleague 1

Project progress report","Project progress, problem solving, meeting schedule"
"동료1과 업무 관련 이슈 논의

프로젝트 진행 상황 보고","프로젝트 진행,회의 일정","Discussing work-related issues with colleague 1

Project progress report","Project progress, meeting schedule"
"동료1과 업무 관련 이슈 논의

프로젝트 진행 상황 보고","프로젝트 진행,문제점 대처","Discussing work-related issues with colleague 1

Reporting on project progress","Project progress, problem solving"
"동료1과 업무 관련 이슈 논의

프로젝트 진행 상황 보고",프로젝트 진행,"Discussing work-related issues with colleague 1

Reporting on project progress",Project progress
"동료1과 업무 관련 이슈 논의

문제점 발생 및 대처 방안 논의","문제점 대처,회의 일정","Discussing work-related issues with colleague 1

Discussing problems and countermeasures","Countermeasures to problems, meeting schedule"
"회사 프로젝트 회의

프로젝트 진행 상황 보고
다음 회의 일정 조율
업무 분담","프로젝트 진행,회의 일정,업무 분담","Company project meeting

Report on project progress
Adjust the schedule for the next meeting
Task allocation","Project progress, meeting schedule, task allocation"
"부동산 중개사와의 상담

매물 정보 문의
방문 일정 조율
가격 협상","매물 정보,방문 일정,가격 협상","Consultation with a real estate agent

Inquiry about property information
Adjustment of visit schedule
Price negotiation","Property information, visit schedule, price negotiation"
"보험 상담

보험 상품 안내
보험 가입 방법 안내
보험 청구 절차 안내","보험 상품,보험 가입 방법,보험 청구 절차","Insurance consultation

Insurance product guidance
Guidance on insurance enrollment methods
Guidance on insurance claim procedures","Insurance products, insurance enrollment methods, insurance claim procedures"
"회사 프로젝트 회의

프로젝트 진행 상황 보고
다음 단계 계획 수립
업무 분담 및 일정 조율","프로젝트 진행 상황,다음 단계 계획,업무 분담,일정 조율","Company project meeting

Report on project progress
Establish next step plan
Task allocation and schedule adjustment","Project progress, next step plan, task allocation, schedule adjustment"
"부동산 매매 계약 상담

매매 계약서 작성 방법 안내
중개 수수료 및 세금 계산
계약 조건 협의","매매 계약서,중개 수수료,세금 계산,계약 조건","Real estate sales contract consultation

Guidance on how to write a sales contract
Calculation of brokerage fees and taxes
Negotiation of contract conditions","Sales contract, brokerage fees, taxes calculation, contract conditions"
"여행 계획 상담

여행 일정 및 경비 계획
숙박 예약 방법 안내
여행 준비물 및 패키지 상담","여행 일정,경비 계획,숙박 예약,여행 준비물,패키지 상담","Travel plan consultation

Travel schedule and budget plan
Accommodation reservation guidance
Travel preparation and package consultation","Travel schedule, budget plan, accommodation reservation, travel preparation, package consultation"
"동료1과 업무 관련 팁 공유

프로젝트 진행 중 발생한 이슈 해결 방법 공유
새로운 기술 도입에 대한 의견 교환
향후 일정 계획 논의","프로젝트 이슈,기술 도입,일정 계획","Sharing tips with colleague 1

Sharing solutions to issues that arise during project progress
Exchanging opinions on new technology adoption
Discussing future schedule plans","Project issues, technology adoption, schedule plans"
