doc,tags
"상사와 업무 관련 회의

상사: 이번 달 목표 달성이 어려울 것 같은데 어떻게 생각해?
나: 이번 달에는 이전보다 많은 걸 해내야 하는데, 이전에는 이렇게 하면서 성과를 냈었는데 이번에도 이렇게 해보는 건 어떨까요?
상사: 그럼 그렇게 해보자. 그리고 이번 주 금요일까지 보고서를 제출해줘.
나: 알겠습니다.
상사: 그리고 이번 달에는 이 프로젝트를 마무리해야 하는데, 현재 진행 상황은 어떤가요?
나: 현재까지는 예정대로 진행 중이며, 다음 주까지는 마무리할 수 있을 것 같습니다.
상사: 그렇다면 다음 주 월요일까지 보고서를 제출해줘.
나: 알겠습니다.","목표달성,프로젝트진행,보고서제출"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"상사1과의 훈련/세미나 정보 공유

훈련 일정 확인
세미나 참석 여부 확인
훈련 자료 공유","훈련일정,세미나참석여부,훈련자료공유"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","보호조치요청,상담녹음,진료예약"
"상사1과의 훈련/세미나 정보 공유

훈련 일정 확인
세미나 참석 여부 확인
훈련 자료 공유","훈련일정,세미나참석여부,훈련자료공유"
"동료1과 업무 협력 논의

동료1과 업무 협력 방안 논의","업무 협력,방안 논의"
"동료1과 업무 협력 논의

동료1과 업무 협력 방안 논의","업무 협력,방안 논의,일정 조율"
"동료1과 업무 협력 논의

동료1과 업무 협력 방안 논의","업무 협력,방안 논의,일정 조율,업무 분담"
"동료1과 업무 협력 논의

동료1과 업무 협력 방안 논의","업무 협력,방안 논의,일정 조율,업무 분담,진행 상황 보고"
"동료1과 업무 협력 논의

동료1과 업무 협력 방안 논의","업무 협력,방안 논의,일정 조율,업무 분담,진행 상황 보고,결과 보고"
"동료1과 프로젝트 아이디어 공유

프로젝트 아이디어 공유",프로젝트 아이디어
"동료2와 회사 업무 상담

회사 업무 상담",회사 업무
"가족과 여행 계획

여행 계획",여행 계획
"친구와 영화 추천

영화 추천",영화 추천
"동호회 모임 장소 정하기

동호회 모임 장소 정하기",동호회 모임
"동료1과 업무 관련 이슈 논의

프로젝트 진행 상황 보고","프로젝트 진행,문제점 대처,회의 일정"
"동료1과 업무 관련 이슈 논의

프로젝트 진행 상황 보고","프로젝트 진행,회의 일정"
"동료1과 업무 관련 이슈 논의

프로젝트 진행 상황 보고","프로젝트 진행,문제점 대처"
"동료1과 업무 관련 이슈 논의

프로젝트 진행 상황 보고",프로젝트 진행
"동료1과 업무 관련 이슈 논의

문제점 발생 및 대처 방안 논의","문제점 대처,회의 일정"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"회사 프로젝트 회의

프로젝트 진행 상황 보고
다음 회의 일정 조율
업무 분담","프로젝트 진행,회의 일정,업무 분담"
"부동산 중개사와의 상담

매물 정보 문의
방문 일정 조율
가격 협상","매물 정보,방문 일정,가격 협상"
"보험 상담

보험 상품 안내
보험 가입 방법 안내
보험 청구 절차 안내","보험 상품,보험 가입 방법,보험 청구 절차"
"고객 보호조치 요청 및 진료 예약 문의

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","고객 보호조치,상담 녹음,진료 예약"
"압구정 로데오에서의 저녁약속

압구정 로데오
사주카페
금요일 저녁","사주카페,5만원,예약 필수"
"회사 프로젝트 회의

프로젝트 진행 상황 보고
다음 단계 계획 수립
업무 분담 및 일정 조율","프로젝트 진행 상황,다음 단계 계획,업무 분담,일정 조율"
"부동산 매매 계약 상담

매매 계약서 작성 방법 안내
중개 수수료 및 세금 계산
계약 조건 협의","매매 계약서,중개 수수료,세금 계산,계약 조건"
"여행 계획 상담

여행 일정 및 경비 계획
숙박 예약 방법 안내
여행 준비물 및 패키지 상담","여행 일정,경비 계획,숙박 예약,여행 준비물,패키지 상담"
"동료1과 업무 관련 팁 공유

프로젝트 진행 중 발생한 이슈 해결 방법 공유
새로운 기술 도입에 대한 의견 교환
향후 일정 계획 논의","프로젝트 이슈,기술 도입,일정 계획"
"가족과의 주말 계획

주말 날씨가 좋을 것 같아서 가족들과 함께 야외 활동을 계획 중
어디로 가기 좋을까?","야외 활동,식사 장소"
"친구와의 약속

다음 주에 친구들과 함께 영화를 보기로 했어
어떤 영화가 좋을까?",영화 추천
"여행 계획

다음 달에 해외 여행을 가기로 했어
어디로 가면 좋을까?","해외 여행,여행 일정"
"운동 계획

운동을 시작하려고 하는데 어떤 운동이 좋을까?","운동 종류,식사 추천"
"동료1과 업무 관련 교육 정보 공유

동료1과 업무 관련 교육 정보 공유","업무,교육,정보공유"
"동료1과 업무 관련 회의

동료1과 업무 관련 회의","업무,회의"
"동료1과 업무 관련 질문

동료1과 업무 관련 질문","업무,질문"
"동료1과 업무 관련 업데이트

동료1과 업무 관련 업데이트","업무,업데이트"
"동료1과 업무 관련 프로젝트 회의

동료1과 업무 관련 프로젝트 회의","업무,프로젝트,회의"
"고객 상담

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","고객 보호조치,상담 녹음,진료 예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"동료2와 식사 계획 논의

어디서 먹을지
언제 먹을지
누구를 초대할지","식사 계획,식당 추천,초대 인원"
"상담 전화

상담 내용","상담 내용,문제 해결,고객 만족도"
"영화 예매

영화 제목
상영 시간
좌석 선택","영화 제목,상영 시간,좌석 선택"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"회사 프로젝트 회의

프로젝트 일정 조율
업무 분담
다음 회의 일정 결정","프로젝트 일정,업무 분담,회의 일정"
"가족간 대화

가족 소식 공유
식사 메뉴 결정
여행 계획 논의","가족 소식,식사 메뉴,여행 계획"
"영화 예매

영화 제목 확인
상영 시간 확인
좌석 선택","영화 제목,상영 시간,좌석 선택"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"회사 업무 상담

동료2와 업무 상담","프로젝트 진행 상황,마감일"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","보험금 청구,진료비 지급,보험 가입"
"친구와 주말 계획

영화 보기
맛집 탐방
산책하기","영화,맛집,산책"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"회사에서의 업무 상담

동료2와의 문제 상담","업무문제,동료간의 갈등"
"가족들과의 대화

가족들과의 일상 대화","가족,건강,여행"
"광고 전화

신용카드 발급 광고","신용카드,혜택,이벤트"
"동료2와 휴가 계획 논의

휴가 일정 조율","휴가조율,휴가보상일,휴가신청방법"
"동료2와 휴가 계획 논의

휴가 일정 조율","휴가조율,휴가보상일,휴가신청방법"
"동료2와 휴가 계획 논의

휴가 일정 조율","휴가조율,휴가보상일,휴가신청방법"
"동료2와 휴가 계획 논의

휴가 일정 조율","휴가조율,휴가보상일,휴가신청방법"
"동료2와 휴가 계획 논의

휴가 일정 조율","휴가조율,휴가보상일,휴가신청방법"
"건강/운동 팁 공유

운동 계획 공유
식단 조언
건강 관련 이슈 상담","운동 계획,식단 조언,건강 이슈"
"건강/운동 팁 공유

운동 계획 수정
식단 조언
건강 관련 이슈 상담","운동 계획,식단 조언,건강 이슈"
"건강/운동 팁 공유

운동 계획 확인
식단 조언
건강 관련 이슈 상담","운동 계획,식단 조언,건강 이슈"
"건강/운동 팁 공유

운동 계획 수정
식단 조언
건강 관련 이슈 상담","운동 계획,식단 조언,건강 이슈"
"건강/운동 팁 공유

운동 계획 수정
식단 조언
건강 관련 이슈 상담","운동 계획,식단 조언,건강 이슈"
"고객 보호조치 요청 및 진료 예약 문의

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","고객 보호조치,상담 녹음,진료 예약"
"압구정 로데오에서의 친구와 저녁약속

압구정 로데오
사주카페
금요일 저녁","사주카페,5만원,예약 필수"
"동료2와의 취미 관련 대화

취미 관련 대화",취미
"상담 전화에서의 다양한 대화

상담 대화",상담
"광고 전화

광고 대화",광고
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"동료3와 업무 보고

프로젝트 진행 상황 보고
다음 회의 일정 조율","프로젝트 진행,회의 일정"
"상담 전화에서의 다양한 대화

상담 내용 확인
상담 결과 안내","상담 내용,상담 결과"
"친구와 영화 보기

영화 예매
상영 시간 확인","영화 예매,상영 시간"
"동료3와 미팅 준비

미팅 준비 사항 논의",미팅 준비
"동료3와 미팅 진행

프로젝트 진행 상황 논의","프로젝트 진행,미팅 일정"
"동료3와 프로젝트 관련 문의

프로젝트 관련 문의",프로젝트 문의
"동료3와 회식 계획

회식 장소 및 일정 논의",회식 계획
"동료3와 출장 일정

출장 일정 논의",출장 일정
"동료3와 업무 결과 검토

업무 결과 검토",업무 결과 검토
"동료3와 업무 결과 검토

업무 결과 검토",업무 결과 검토
"동료3와 업무 결과 검토

업무 결과 검토",업무 결과 검토
"동료3와 업무 결과 검토

업무 결과 검토",업무 결과 검토
"동료3와 업무 결과 검토

업무 결과 검토",업무 결과 검토
"동료3과 피드백 공유

프로젝트 진행 상황 공유
피드백 요청 및 제공
다음 회의 일정 조율","프로젝트 진행,피드백 요청,회의 일정"
"동료3와 피드백 공유

프로젝트 진행 상황 공유
피드백 요청 및 제공
다음 회의 일정 조율","프로젝트 진행,피드백 요청,회의 일정,프로젝트 일정"
"동료3와 피드백 공유

프로젝트 진행 상황 보고
피드백 요청 및 제공","프로젝트 진행,피드백 요청"
"동료3와 피드백 공유

프로젝트 진행 상황 보고
피드백 요청 및 제공","프로젝트 진행,피드백 요청,회의 일정"
"동료3와 피드백 공유

프로젝트 진행 상황 보고",프로젝트 진행
"동료3와 업무 문제 상황 해결

고객의 불만사항 해결 방안 논의","고객 불만사항,제품 결함,프로젝트 일정"
"동료1과 업무 진행 상황 보고

해당 프로젝트의 진행 상황 보고","프로젝트 진행 상황,프로젝트 문제점,프로젝트 일정"
"동료2와 회식 장소 선정

회식 장소 후보군 선정","회식 장소,회식 예산,회식 인원 수"
"가족과 여행 계획

여행 일정 및 목적지 선정","여행 일정,여행 목적지,여행 경비,숙박 예약,여행 준비물"
